iter	Passed	Remaining
906	4070	417
907	4074	412
908	4079	408
909	4083	403
910	4087	399
911	4091	394
912	4096	390
913	4100	385
914	4104	381
915	4108	376
916	4113	372
917	4117	367
918	4121	363
919	4125	358
920	4130	354
921	4134	349
922	4138	345
923	4142	340
924	4147	336
925	4151	331
926	4155	327
927	4160	322
928	4164	318
929	4167	313
930	4172	309
931	4176	304
932	4181	300
933	4186	295
934	4190	291
935	4195	286
936	4199	282
937	4203	277
938	4207	273
939	4211	268
940	4215	264
941	4220	259
942	4224	255
943	4228	250
944	4232	246
945	4236	241
946	4240	237
947	4245	232
948	4249	228
949	4253	223
950	4258	219
951	4262	214
952	4266	210
953	4270	205
954	4275	201
955	4279	196
956	4282	192
957	4287	187
958	4292	183
959	4296	179
960	4301	174
961	4305	170
962	4309	165
963	4314	161
964	4318	156
965	4322	152
966	4327	147
967	4331	143
968	4336	138
969	4340	134
970	4344	129
971	4349	125
972	4353	120
973	4358	116
974	4361	111
975	4366	107
976	4371	102
977	4375	98
978	4380	93
979	4384	89
980	4389	85
981	4392	80
982	4396	76
983	4401	71
984	4405	67
985	4410	62
986	4414	58
987	4418	53
988	4422	49
989	4427	44
990	4431	40
991	4435	35
992	4440	31
993	4444	26
994	4448	22
995	4452	17
996	4456	13
997	4460	8
998	4464	4
999	4469	0
